"","date","state","fips","cases","deaths","daily_incidence"
"1","2020-03-11","Arkansas",5,1,0,1
"2","2020-03-12","Arkansas",5,6,0,5
"3","2020-03-13","Arkansas",5,7,0,1
"4","2020-03-14","Arkansas",5,9,0,2
"5","2020-03-15","Arkansas",5,16,0,7
"6","2020-03-16","Arkansas",5,22,0,6
"7","2020-03-17","Arkansas",5,22,0,0
"8","2020-03-18","Arkansas",5,33,0,11
"9","2020-03-19","Arkansas",5,62,0,29
"10","2020-03-20","Arkansas",5,100,0,38
"11","2020-03-21","Arkansas",5,118,0,18
"12","2020-03-22","Arkansas",5,165,0,47
"13","2020-03-23","Arkansas",5,201,0,36
"14","2020-03-24","Arkansas",5,231,2,30
"15","2020-03-25","Arkansas",5,307,2,76
"16","2020-03-26","Arkansas",5,350,3,43
"17","2020-03-27","Arkansas",5,385,3,35
"18","2020-03-28","Arkansas",5,409,5,24
"19","2020-03-29","Arkansas",5,449,6,40
"20","2020-03-30","Arkansas",5,508,7,59
"21","2020-03-31","Arkansas",5,564,8,56
"22","2020-04-01","Arkansas",5,624,10,60
"23","2020-04-02","Arkansas",5,683,12,59
"24","2020-04-03","Arkansas",5,738,12,55
"25","2020-04-04","Arkansas",5,743,14,5
"26","2020-04-05","Arkansas",5,853,16,110
"27","2020-04-06","Arkansas",5,927,16,74
"28","2020-04-07","Arkansas",5,997,18,70
"29","2020-04-08","Arkansas",5,1077,18,80
"30","2020-04-09","Arkansas",5,1146,21,69
"31","2020-04-10","Arkansas",5,1202,24,56
"32","2020-04-11","Arkansas",5,1228,25,26
"33","2020-04-12","Arkansas",5,1280,27,52
"34","2020-04-13","Arkansas",5,1475,30,195
"35","2020-04-14","Arkansas",5,1498,32,23
"36","2020-04-15","Arkansas",5,1599,34,101
"37","2020-04-16","Arkansas",5,1620,37,21
"38","2020-04-17","Arkansas",5,1695,37,75
"39","2020-04-18","Arkansas",5,1777,38,82
"40","2020-04-19","Arkansas",5,1781,39,4
"41","2020-04-20","Arkansas",5,1971,42,190
"42","2020-04-21","Arkansas",5,2262,43,291
"43","2020-04-22","Arkansas",5,2392,44,130
"44","2020-04-23","Arkansas",5,2599,45,207
"45","2020-04-24","Arkansas",5,2810,47,211
"46","2020-04-25","Arkansas",5,2909,48,99
"47","2020-04-26","Arkansas",5,3001,50,92
"48","2020-04-27","Arkansas",5,3069,51,68
"49","2020-04-28","Arkansas",5,3127,57,58
"50","2020-04-29","Arkansas",5,3207,59,80
"51","2020-04-30","Arkansas",5,3281,61,74
"52","2020-05-01","Arkansas",5,3310,64,29
"53","2020-05-02","Arkansas",5,3372,72,62
"54","2020-05-03","Arkansas",5,3431,76,59
"55","2020-05-04","Arkansas",5,3469,80,38
"56","2020-05-05","Arkansas",5,3525,83,56
"57","2020-05-06","Arkansas",5,3611,87,86
"58","2020-05-07","Arkansas",5,3694,88,83
"59","2020-05-08","Arkansas",5,3747,88,53
"60","2020-05-09","Arkansas",5,3747,88,0
"61","2020-05-10","Arkansas",5,4012,91,265
"62","2020-05-11","Arkansas",5,4043,94,31
"63","2020-05-12","Arkansas",5,4164,95,121
