"","date","state","fips","cases","deaths","daily_incidence"
"1","2020-03-06","Kentucky",21,1,0,1
"2","2020-03-07","Kentucky",21,1,0,0
"3","2020-03-08","Kentucky",21,4,0,3
"4","2020-03-09","Kentucky",21,5,0,1
"5","2020-03-10","Kentucky",21,7,0,2
"6","2020-03-11","Kentucky",21,7,0,0
"7","2020-03-12","Kentucky",21,11,0,4
"8","2020-03-13","Kentucky",21,11,0,0
"9","2020-03-14","Kentucky",21,18,0,7
"10","2020-03-15","Kentucky",21,21,0,3
"11","2020-03-16","Kentucky",21,22,1,1
"12","2020-03-17","Kentucky",21,26,1,4
"13","2020-03-18","Kentucky",21,35,1,9
"14","2020-03-19","Kentucky",21,47,2,12
"15","2020-03-20","Kentucky",21,63,2,16
"16","2020-03-21","Kentucky",21,84,3,21
"17","2020-03-22","Kentucky",21,103,3,19
"18","2020-03-23","Kentucky",21,124,3,21
"19","2020-03-24","Kentucky",21,157,3,33
"20","2020-03-25","Kentucky",21,198,5,41
"21","2020-03-26","Kentucky",21,248,5,50
"22","2020-03-27","Kentucky",21,302,8,54
"23","2020-03-28","Kentucky",21,394,9,92
"24","2020-03-29","Kentucky",21,439,9,45
"25","2020-03-30","Kentucky",21,480,11,41
"26","2020-03-31","Kentucky",21,590,18,110
"27","2020-04-01","Kentucky",21,674,20,84
"28","2020-04-02","Kentucky",21,747,34,73
"29","2020-04-03","Kentucky",21,762,34,15
"30","2020-04-04","Kentucky",21,909,40,147
"31","2020-04-05","Kentucky",21,1048,44,139
"32","2020-04-06","Kentucky",21,1057,52,9
"33","2020-04-07","Kentucky",21,1289,66,232
"34","2020-04-08","Kentucky",21,1393,73,104
"35","2020-04-09","Kentucky",21,1525,84,132
"36","2020-04-10","Kentucky",21,1702,90,177
"37","2020-04-11","Kentucky",21,1851,94,149
"38","2020-04-12","Kentucky",21,1963,98,112
"39","2020-04-13","Kentucky",21,2048,106,85
"40","2020-04-14","Kentucky",21,2210,115,162
"41","2020-04-15","Kentucky",21,2295,124,85
"42","2020-04-16","Kentucky",21,2429,131,134
"43","2020-04-17","Kentucky",21,2522,140,93
"44","2020-04-18","Kentucky",21,2707,145,185
"45","2020-04-19","Kentucky",21,2960,149,253
"46","2020-04-20","Kentucky",21,3050,155,90
"47","2020-04-21","Kentucky",21,3193,172,143
"48","2020-04-22","Kentucky",21,3373,185,180
"49","2020-04-23","Kentucky",21,3548,194,175
"50","2020-04-24","Kentucky",21,3779,203,231
"51","2020-04-25","Kentucky",21,3905,208,126
"52","2020-04-26","Kentucky",21,4074,211,169
"53","2020-04-27","Kentucky",21,4146,216,72
"54","2020-04-28","Kentucky",21,4375,231,229
"55","2020-04-29","Kentucky",21,4538,235,163
"56","2020-04-30","Kentucky",21,4708,240,170
"57","2020-05-01","Kentucky",21,4879,248,171
"58","2020-05-02","Kentucky",21,4881,252,2
"59","2020-05-03","Kentucky",21,5223,256,342
"60","2020-05-04","Kentucky",21,5370,267,147
"61","2020-05-05","Kentucky",21,5822,278,452
